N1|N2|QID|Time|Degree|Overtime|Heu
9|12|1127|4,012,725|9|0|0
9|12|1127|4,010,423|9|0|0
9|12|1127|4,008,608|9|0|0
9|12|1127|4,006,830|9|0|0
9|12|1127|4,005,072|9|0|0
9|12|1127|4,003,303|9|0|0
9|12|1127|4,001,542|9|0|0
9|12|1127|3,999,778|9|0|0
9|12|1127|3,998,022|9|0|0
9|12|1127|3,996,269|9|0|0
9|12|1127|3,994,515|9|0|0
9|12|1127|3,992,763|9|0|0
9|12|1127|3,991,010|9|0|0
9|12|1127|3,989,241|9|0|0
9|12|1127|3,987,483|9|0|0
9|12|1127|3,985,742|9|0|0
9|12|1127|3,983,999|9|0|0
9|12|1127|3,982,251|9|0|0
9|12|1127|3,980,497|9|0|0
9|12|1127|3,978,888|9|0|0
9|12|1127|3,977,179|9|0|0
9|12|1127|3,975,398|9|0|0
9|12|1127|3,973,634|9|0|0
9|12|1127|3,971,889|9|0|0
9|12|1127|3,970,138|9|0|0
9|12|1127|3,968,390|9|0|0
9|12|1127|3,966,644|9|0|0
9|12|1127|3,964,886|9|0|0
9|12|1127|3,963,104|9|0|0
9|12|1127|3,961,365|9|0|0
9|12|1127|3,959,591|9|0|0
9|12|1127|3,957,813|9|0|0
9|12|1127|3,956,260|9|0|0
9|12|1127|3,954,505|9|0|0
9|12|1127|3,952,744|9|0|0
9|12|1127|3,950,999|9|0|0
9|12|1127|3,949,216|9|0|0
9|12|1127|3,947,456|9|0|0
9|12|1127|3,945,712|9|0|0
9|12|1127|3,943,934|9|0|0
9|12|1127|3,942,159|9|0|0
9|12|1127|3,940,410|9|0|0
9|12|1127|3,938,666|9|0|0
9|12|1127|3,936,908|9|0|0
9|12|1127|3,935,161|9|0|0
9|12|1127|3,933,416|9|0|0
9|12|1127|3,931,672|9|0|0
9|12|1127|3,929,920|9|0|0
9|12|1127|3,928,143|9|0|0
9|12|1127|3,926,397|9|0|0
9|12|1127|3,924,686|9|0|0
9|12|1127|3,922,971|9|0|0
9|12|1127|3,921,225|9|0|0
9|12|1127|3,919,452|9|0|0
9|12|1127|3,917,679|9|0|0
9|12|1127|3,915,932|9|0|0
9|12|1127|3,914,161|9|0|0
9|12|1127|3,912,397|9|0|0
9|12|1127|3,910,647|9|0|0
9|12|1127|3,908,865|9|0|0
9|12|1127|3,907,127|9|0|0
9|12|1127|3,905,349|9|0|0
9|12|1127|3,903,613|9|0|0
9|12|1127|3,901,866|9|0|0
9|12|1127|3,900,093|9|0|0
9|12|1127|3,898,342|9|0|0
9|12|1127|3,896,572|9|0|0
9|12|1127|3,894,794|9|0|0
9|12|1127|3,893,018|9|0|0
9|12|1127|3,891,250|9|0|0
9|12|1127|3,889,490|9|0|0
9|12|1127|3,887,742|9|0|0
9|12|1127|3,885,966|9|0|0
9|12|1127|3,884,215|9|0|0
9|12|1127|3,882,470|9|0|0
9|12|1127|3,880,706|9|0|0
9|12|1127|3,878,936|9|0|0
9|12|1127|3,877,148|9|0|0
9|12|1127|3,875,390|9|0|0
9|12|1127|3,873,635|9|0|0
9|12|1127|3,871,882|9|0|0
9|12|1127|3,870,133|9|0|0
9|12|1127|3,868,385|9|0|0
9|12|1127|3,866,617|9|0|0
9|12|1127|3,864,889|9|0|0
9|12|1127|3,863,170|9|0|0
9|12|1127|3,861,436|9|0|0
9|12|1127|3,859,666|9|0|0
9|12|1127|3,857,891|9|0|0
9|12|1127|3,856,135|9|0|0
9|12|1127|3,424,759|9|0|0
9|12|1127|3,422,912|9|0|0
9|12|1127|3,421,247|9|0|0
9|12|1127|3,419,476|9|0|0
9|12|1127|3,417,682|9|0|0
9|12|1127|3,415,899|9|0|0
9|12|1127|3,414,059|9|0|0
9|12|1127|3,412,269|9|0|0
9|12|1127|3,410,471|9|0|0
9|12|1127|3,408,703|9|0|0
