N1|N2|QID|Time|Degree|Overtime|Heu
9|12|6876|165,423|8|0|0
9|12|6876|163,415|8|0|0
9|12|6876|162,029|8|0|0
9|12|6876|160,669|8|0|0
9|12|6876|159,325|8|0|0
9|12|6876|157,993|8|0|0
9|12|6876|156,746|8|0|0
9|12|6876|155,447|8|0|0
9|12|6876|154,129|8|0|0
9|12|6876|152,803|8|0|0
9|12|6876|151,472|8|0|0
9|12|6876|150,119|8|0|0
9|12|6876|148,792|8|0|0
9|12|6876|147,456|8|0|0
9|12|6876|146,128|8|0|0
9|12|6876|144,805|8|0|0
9|12|6876|143,481|8|0|0
9|12|6876|142,156|8|0|0
9|12|6876|140,830|8|0|0
9|12|6876|139,504|8|0|0
9|12|6876|138,172|8|0|0
9|12|6876|136,841|8|0|0
9|12|6876|135,513|8|0|0
9|12|6876|134,181|8|0|0
9|12|6876|132,853|8|0|0
9|12|6876|131,528|8|0|0
9|12|6876|130,205|8|0|0
9|12|6876|128,879|8|0|0
9|12|6876|127,551|8|0|0
9|12|6876|126,230|8|0|0
9|12|6876|164,638|8|0|0
9|12|6876|163,264|8|0|0
9|12|6876|161,913|8|0|0
9|12|6876|160,571|8|0|0
9|12|6876|159,240|8|0|0
9|12|6876|157,899|8|0|0
9|12|6876|156,562|8|0|0
9|12|6876|155,205|8|0|0
9|12|6876|153,849|8|0|0
9|12|6876|152,515|8|0|0
9|12|6876|151,179|8|0|0
9|12|6876|149,846|8|0|0
9|12|6876|148,514|8|0|0
9|12|6876|147,184|8|0|0
9|12|6876|145,852|8|0|0
9|12|6876|144,520|8|0|0
9|12|6876|143,191|8|0|0
9|12|6876|141,871|8|0|0
9|12|6876|140,553|8|0|0
9|12|6876|139,227|8|0|0
9|12|6876|137,878|8|0|0
9|12|6876|136,557|8|0|0
9|12|6876|135,223|8|0|0
9|12|6876|133,904|8|0|0
9|12|6876|132,609|8|0|0
9|12|6876|131,279|8|0|0
9|12|6876|129,951|8|0|0
9|12|6876|128,623|8|0|0
9|12|6876|127,294|8|0|0
9|12|6876|125,969|8|0|0
9|12|6876|164,498|8|0|0
9|12|6876|163,141|8|0|0
9|12|6876|161,802|8|0|0
9|12|6876|160,463|8|0|0
9|12|6876|159,128|8|0|0
9|12|6876|157,795|8|0|0
9|12|6876|156,465|8|0|0
9|12|6876|155,122|8|0|0
9|12|6876|153,723|8|0|0
9|12|6876|152,372|8|0|0
9|12|6876|151,036|8|0|0
9|12|6876|149,712|8|0|0
9|12|6876|148,390|8|0|0
9|12|6876|147,068|8|0|0
9|12|6876|145,747|8|0|0
9|12|6876|144,409|8|0|0
9|12|6876|143,072|8|0|0
9|12|6876|141,754|8|0|0
9|12|6876|140,433|8|0|0
9|12|6876|139,116|8|0|0
9|12|6876|137,787|8|0|0
9|12|6876|136,547|8|0|0
9|12|6876|135,236|8|0|0
9|12|6876|133,917|8|0|0
9|12|6876|132,588|8|0|0
9|12|6876|131,264|8|0|0
9|12|6876|129,943|8|0|0
9|12|6876|128,622|8|0|0
9|12|6876|127,296|8|0|0
9|12|6876|125,969|8|0|0
9|12|6876|134,555|8|0|0
9|12|6876|133,224|8|0|0
9|12|6876|131,877|8|0|0
9|12|6876|130,535|8|0|0
9|12|6876|129,196|8|0|0
9|12|6876|127,864|8|0|0
9|12|6876|126,531|8|0|0
9|12|6876|125,012|8|0|0
9|12|6876|123,608|8|0|0
9|12|6876|122,269|8|0|0
