,graph,N1,N2,QID,Query Limit,Total Queries,Degree,Overtime /p1,Time /p1,Overtime /p2,Time /p2,Overtime all,Time all
0,amazon_q,9,12,321,100,100,6,0,"3,577,682",0,"3,635,407",0,"3,667,446"
1,com-dblp,9,12,79920,100,100,11,0,"84,046",0,"62,425",0,"164,022"
2,ego-facebook,9,12,1127,100,100,9,0,"4,287,447",0,"4,088,254",0,"4,096,579"
3,government,9,12,6876,100,100,8,0,"378,797",0,"398,763",0,"350,720"
4,orani,9,12,1452,100,100,9,0,"6,449,159",0,"3,901,660",0,"3,926,582"
