,graph,N1,N2,QID,Query Limit,Total Queries,Degree,Overtime,Time
0,amazon_q,9,12,321,1,100,6,0,9071827
1,amazon_q,9,12,321,10,100,6,0,4085286
2,amazon_q,9,12,321,100,100,6,0,3597806
3,amazon_q,9,12,321,20,100,6,0,3819173
4,amazon_q,9,12,321,30,100,6,0,3758131
5,amazon_q,9,12,321,40,100,6,0,3705450
6,amazon_q,9,12,321,50,100,6,0,3653723
7,amazon_q,9,12,321,60,100,6,0,3641886
8,amazon_q,9,12,321,70,100,6,0,3655179
9,amazon_q,9,12,321,80,100,6,0,3661955
10,amazon_q,9,12,321,90,100,6,0,3659335
11,com-dblp,9,12,79920,1,100,11,0,45949
12,com-dblp,9,12,79920,10,100,11,0,5630
13,com-dblp,9,12,79920,100,100,11,0,1102
14,com-dblp,9,12,79920,20,100,11,0,3180
15,com-dblp,9,12,79920,30,100,11,0,2622
16,com-dblp,9,12,79920,40,100,11,0,2137
17,com-dblp,9,12,79920,50,100,11,0,1642
18,com-dblp,9,12,79920,60,100,11,0,1628
19,com-dblp,9,12,79920,70,100,11,0,1730
20,com-dblp,9,12,79920,80,100,11,0,1601
21,com-dblp,9,12,79920,90,100,11,0,1579
22,ego-facebook,9,12,1127,1,100,9,0,286426089
23,ego-facebook,9,12,1127,10,100,9,0,34302589
24,ego-facebook,9,12,1127,100,100,9,0,4057513
25,ego-facebook,9,12,1127,20,100,9,0,18560345
26,ego-facebook,9,12,1127,30,100,9,0,14938469
27,ego-facebook,9,12,1127,40,100,9,0,11479043
28,ego-facebook,9,12,1127,50,100,9,0,7895044
29,ego-facebook,9,12,1127,60,100,9,0,7860073
30,ego-facebook,9,12,1127,70,100,9,0,7834122
31,ego-facebook,9,12,1127,80,100,9,0,7758043
32,ego-facebook,9,12,1127,90,100,9,0,7437484
33,government,9,12,6876,1,100,8,0,12108695
34,government,9,12,6876,10,100,8,0,1345991
35,government,9,12,6876,100,100,8,0,282648
36,government,9,12,6876,20,100,8,0,747538
37,government,9,12,6876,30,100,8,0,629114
38,government,9,12,6876,40,100,8,0,507594
39,government,9,12,6876,50,100,8,0,386011
40,government,9,12,6876,60,100,8,0,386420
41,government,9,12,6876,70,100,8,0,406900
42,government,9,12,6876,80,100,8,0,410159
43,government,9,12,6876,90,100,8,0,405493
44,orani,9,12,1452,1,100,9,0,226462589
45,orani,9,12,1452,10,100,9,0,26417432
46,orani,9,12,1452,100,100,9,0,3853284
47,orani,9,12,1452,20,100,9,0,14581210
48,orani,9,12,1452,30,100,9,0,12288759
49,orani,9,12,1452,40,100,9,0,9736836
50,orani,9,12,1452,50,100,9,0,6990899
51,orani,9,12,1452,60,100,9,0,6989147
52,orani,9,12,1452,70,100,9,0,7144093
53,orani,9,12,1452,80,100,9,0,6632387
54,orani,9,12,1452,90,100,9,0,6450418
