N1,N2,QID,Time,Degree,Overtime,Heu,Graph
3,6,73730,"124,968",2,0,1,gowalla
6,9,142944,"4,181,344",2,0,0,gowalla
9,12,94629,"379,384",7,0,0,gowalla
12,15,165694,"121,243",1,0,1,gowalla
15,18,170215,"1,800,481,018",3,1,0,gowalla
18,21,157030,"286,763",2,0,0,gowalla
21,24,100578,"117,091",2,0,1,gowalla
3,6,168659,"97,938",1,0,1,citeseer
6,9,136316,"97,925",5,0,1,citeseer
9,12,36027,"119,400",4,0,0,citeseer
12,15,116835,"252,353,206",3,0,0,citeseer
15,18,63253,"153,157",4,0,0,citeseer
18,21,42457,"98,673",6,0,1,citeseer
21,24,19086,"158,261",4,0,0,citeseer
3,6,170410,"162,313",2,0,1,com-dblp
6,9,54697,"164,208",7,0,1,com-dblp
9,12,183110,"164,327",2,0,1,com-dblp
12,15,262990,"163,533",4,0,1,com-dblp
15,18,278178,"163,614",4,0,1,com-dblp
18,21,279803,"255,548",5,0,0,com-dblp
21,24,168804,"1,800,335,632",6,1,0,com-dblp
3,6,174852,"257,264",3,0,0,amazon_q
6,9,313830,"254,700",3,0,0,amazon_q
9,12,82150,"281,976",3,0,0,amazon_q
12,15,220506,"268,167",4,0,0,amazon_q
15,18,78658,"31,306,173",3,0,0,amazon_q
18,21,274848,"291,349",4,0,0,amazon_q
21,24,312597,"406,826",5,0,0,amazon_q
3,6,673421,"700,601",1,0,1,youtube_q
6,9,295426,"1,800,492,511",2,1,0,youtube_q
9,12,857898,"704,328",1,0,1,youtube_q
12,15,316803,"703,686",1,0,1,youtube_q
15,18,139665,"1,800,582,190",4,1,0,youtube_q
18,21,918619,"703,721",1,0,1,youtube_q
21,24,880160,"720,258",1,0,1,youtube_q
3,6,941641,"793,810",2,0,0,hyves_q
6,9,1341842,"562,560",2,0,1,hyves_q
9,12,968483,"558,497",1,0,1,hyves_q
12,15,174369,"576,996",1,0,1,hyves_q
15,18,1042925,"557,095",1,0,1,hyves_q
18,21,298843,"557,373",1,0,1,hyves_q
21,24,260848,"1,800,514,222",3,1,0,hyves_q
3,6,117120,"1,591,155",3,0,0,skitter
6,9,1069949,"1,365,023",2,0,1,skitter
9,12,1422676,"3,076,128",4,0,0,skitter
12,15,1505935,"1,911,952",3,0,0,skitter
15,18,1665532,"1,895,959",4,0,0,skitter
18,21,1517341,"1,452,536",1,0,1,skitter
21,24,835452,"1,522,423",2,0,1,skitter
3,6,1236070,"1,411,967",2,0,0,flixster
6,9,1994147,"1,123,756",1,0,1,flixster
9,12,2272307,"1,111,586",1,0,1,flixster
12,15,1967706,"1,102,473",1,0,1,flixster
15,18,1123845,"1,874,954",2,0,0,flixster
18,21,395257,"1,113,086",1,0,1,flixster
21,24,1724213,"1,103,299",1,0,1,flixster
3,6,1154710,"5,391,781",1,0,1,patent_q
6,9,420314,"5,394,632",1,0,1,patent_q
9,12,2999380,"17,020,216",4,0,0,patent_q
12,15,1672218,"1,800,408,170",3,1,0,patent_q
15,18,2585736,"1,800,415,877",3,1,0,patent_q
18,21,1881330,"1,800,375,795",3,1,0,patent_q
21,24,3630921,"1,800,420,949",3,1,0,patent_q
3,6,821868,"6,214,607",2,0,1,soc-livejournal
6,9,2539355,"6,212,934",4,0,1,soc-livejournal
9,12,2470345,"16,227,484",6,0,0,soc-livejournal
12,15,3303316,"10,920,091",4,0,0,soc-livejournal
15,18,3801386,"6,225,179",2,0,1,soc-livejournal
18,21,2294618,"8,713,737",5,0,0,soc-livejournal
21,24,604277,"8,551,495",6,0,0,soc-livejournal
3,6,120522,"6,213,895",2,0,0,dblp-author
6,9,2431199,"6,574,171",2,0,0,dblp-author
9,12,5765351,"4,643,050",1,0,1,dblp-author
12,15,2288264,"7,881,263",2,0,0,dblp-author
15,18,5370942,"4,715,525",0,0,0,dblp-author
18,21,823817,"7,816,384",2,0,0,dblp-author
21,24,856045,"1,800,567,558",2,1,0,dblp-author
