N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|607|4,614,384|10|0|0|0
9|12|607|4,605,812|10|0|0|0
9|12|607|4,597,530|10|0|0|0
9|12|607|4,589,330|10|0|0|0
9|12|607|4,581,138|10|0|0|0
9|12|607|4,572,930|10|0|0|0
9|12|607|4,564,710|10|0|0|0
9|12|607|4,556,539|10|0|0|0
9|12|607|4,548,448|10|0|0|0
9|12|607|4,540,263|10|0|0|0
9|12|607|4,532,053|10|0|0|0
9|12|607|4,523,866|10|0|0|0
9|12|607|4,515,680|10|0|0|0
9|12|607|4,507,488|10|0|0|0
9|12|607|4,499,276|10|0|0|0
9|12|607|4,491,087|10|0|0|0
9|12|607|4,482,888|10|0|0|0
9|12|607|4,474,688|10|0|0|0
9|12|607|4,466,492|10|0|0|0
9|12|607|4,458,301|10|0|0|0
9|12|607|4,450,090|10|0|0|0
9|12|607|4,441,871|10|0|0|0
9|12|607|4,433,671|10|0|0|0
9|12|607|4,425,480|10|0|0|0
9|12|607|4,417,282|10|0|0|0
9|12|607|4,409,084|10|0|0|0
9|12|607|4,400,892|10|0|0|0
9|12|607|4,392,701|10|0|0|0
9|12|607|4,384,515|10|0|0|0
9|12|607|4,376,331|10|0|0|0
9|12|607|4,368,142|10|0|0|0
9|12|607|4,359,965|10|0|0|0
9|12|607|4,351,785|10|0|0|0
9|12|607|4,343,572|10|0|0|0
9|12|607|4,335,378|10|0|0|0
9|12|607|4,327,191|10|0|0|0
9|12|607|4,319,010|10|0|0|0
9|12|607|4,310,806|10|0|0|0
9|12|607|4,302,655|10|0|0|0
9|12|607|4,294,491|10|0|0|0
9|12|607|4,286,330|10|0|0|0
9|12|607|4,278,141|10|0|0|0
9|12|607|4,269,957|10|0|0|0
9|12|607|4,261,768|10|0|0|0
9|12|607|4,253,585|10|0|0|0
9|12|607|4,245,404|10|0|0|0
9|12|607|4,237,201|10|0|0|0
9|12|607|4,229,001|10|0|0|0
9|12|607|4,220,817|10|0|0|0
9|12|607|4,212,627|10|0|0|0
9|12|607|4,204,421|10|0|0|0
9|12|607|4,196,223|10|0|0|0
9|12|607|4,188,041|10|0|0|0
9|12|607|4,179,848|10|0|0|0
9|12|607|4,171,658|10|0|0|0
9|12|607|4,163,456|10|0|0|0
9|12|607|4,155,264|10|0|0|0
9|12|607|4,147,086|10|0|0|0
9|12|607|4,138,873|10|0|0|0
9|12|607|4,130,659|10|0|0|0
9|12|607|4,122,478|10|0|0|0
9|12|607|4,114,302|10|0|0|0
9|12|607|4,106,113|10|0|0|0
9|12|607|4,097,911|10|0|0|0
9|12|607|4,089,725|10|0|0|0
9|12|607|4,081,544|10|0|0|0
9|12|607|4,073,375|10|0|0|0
9|12|607|4,065,195|10|0|0|0
9|12|607|4,057,044|10|0|0|0
9|12|607|4,048,892|10|0|0|0
9|12|607|4,040,709|10|0|0|0
9|12|607|4,032,514|10|0|0|0
9|12|607|4,024,313|10|0|0|0
9|12|607|4,016,139|10|0|0|0
9|12|607|4,007,954|10|0|0|0
9|12|607|3,999,776|10|0|0|0
9|12|607|3,991,588|10|0|0|0
9|12|607|3,983,386|10|0|0|0
9|12|607|3,975,220|10|0|0|0
9|12|607|3,967,033|10|0|0|0
9|12|607|3,958,868|10|0|0|0
9|12|607|3,950,708|10|0|0|0
9|12|607|3,942,546|10|0|0|0
9|12|607|3,934,352|10|0|0|0
9|12|607|3,926,155|10|0|0|0
9|12|607|3,917,971|10|0|0|0
9|12|607|3,909,773|10|0|0|0
9|12|607|3,901,603|10|0|0|0
9|12|607|3,893,422|10|0|0|0
9|12|607|3,885,219|10|0|0|0
9|12|607|3,877,035|10|0|0|0
9|12|607|3,868,836|10|0|0|0
9|12|607|3,860,621|10|0|0|0
9|12|607|3,852,412|10|0|0|0
9|12|607|3,844,228|10|0|0|0
9|12|607|3,836,038|10|0|0|0
9|12|607|3,827,838|10|0|0|0
9|12|607|3,819,686|10|0|0|0
9|12|607|3,811,548|10|0|0|0
9|12|607|3,803,395|10|0|0|0
-1|-1|-1|-1|-1|-1|-1|4,727,310
