N1|N2|QID|Time|Degree|Overtime|Heu
9|12|321|3,168,081|6|0|0
9|12|321|3,132,857|6|0|0
9|12|321|3,097,966|6|0|0
9|12|321|3,063,154|6|0|0
9|12|321|3,028,378|6|0|0
9|12|321|2,993,524|6|0|0
9|12|321|2,958,694|6|0|0
9|12|321|2,923,874|6|0|0
9|12|321|2,889,045|6|0|0
9|12|321|2,854,147|6|0|0
9|12|321|2,819,396|6|0|0
9|12|321|2,784,609|6|0|0
9|12|321|2,749,806|6|0|0
9|12|321|2,715,025|6|0|0
9|12|321|2,680,205|6|0|0
9|12|321|2,645,109|6|0|0
9|12|321|2,610,245|6|0|0
9|12|321|2,574,092|6|0|0
9|12|321|2,539,094|6|0|0
9|12|321|2,504,298|6|0|0
9|12|321|2,469,460|6|0|0
9|12|321|2,434,622|6|0|0
9|12|321|2,399,745|6|0|0
9|12|321|2,364,861|6|0|0
9|12|321|2,329,981|6|0|0
9|12|321|2,295,149|6|0|0
9|12|321|2,260,324|6|0|0
9|12|321|2,225,506|6|0|0
9|12|321|2,189,880|6|0|0
9|12|321|2,153,618|6|0|0
9|12|321|2,118,746|6|0|0
9|12|321|2,083,950|6|0|0
9|12|321|2,049,118|6|0|0
9|12|321|2,014,098|6|0|0
9|12|321|1,979,283|6|0|0
9|12|321|1,944,418|6|0|0
9|12|321|1,909,439|6|0|0
9|12|321|1,874,622|6|0|0
9|12|321|1,839,654|6|0|0
9|12|321|1,804,886|6|0|0
9|12|321|1,770,096|6|0|0
9|12|321|1,735,238|6|0|0
9|12|321|1,700,397|6|0|0
9|12|321|1,665,539|6|0|0
9|12|321|1,630,702|6|0|0
9|12|321|1,595,691|6|0|0
9|12|321|1,560,856|6|0|0
9|12|321|1,525,971|6|0|0
9|12|321|1,490,961|6|0|0
9|12|321|1,456,181|6|0|0
9|12|321|1,421,355|6|0|0
9|12|321|1,386,411|6|0|0
9|12|321|1,351,508|6|0|0
9|12|321|1,316,586|6|0|0
9|12|321|1,281,803|6|0|0
9|12|321|1,246,964|6|0|0
9|12|321|1,212,142|6|0|0
9|12|321|1,177,206|6|0|0
9|12|321|1,142,358|6|0|0
9|12|321|1,107,554|6|0|0
9|12|321|1,072,717|6|0|0
9|12|321|1,037,894|6|0|0
9|12|321|1,003,073|6|0|0
9|12|321|967,552|6|0|0
9|12|321|932,182|6|0|0
9|12|321|897,359|6|0|0
9|12|321|861,283|6|0|0
9|12|321|826,429|6|0|0
9|12|321|791,366|6|0|0
9|12|321|756,567|6|0|0
9|12|321|721,771|6|0|0
9|12|321|686,834|6|0|0
9|12|321|651,996|6|0|0
9|12|321|617,234|6|0|0
9|12|321|582,444|6|0|0
9|12|321|547,573|6|0|0
9|12|321|512,767|6|0|0
9|12|321|477,980|6|0|0
9|12|321|443,151|6|0|0
9|12|321|408,333|6|0|0
9|12|321|373,362|6|0|0
9|12|321|338,563|6|0|0
9|12|321|303,761|6|0|0
9|12|321|268,931|6|0|0
9|12|321|234,079|6|0|0
9|12|321|199,232|6|0|0
9|12|321|164,360|6|0|0
9|12|321|129,513|6|0|0
9|12|321|94,661|6|0|0
9|12|321|59,840|6|0|0
