N1|N2|QID|Time|Degree|Overtime|Heu
9|12|321|2,121,509|6|0|0
9|12|321|2,086,138|6|0|0
9|12|321|2,051,384|6|0|0
9|12|321|2,016,553|6|0|0
9|12|321|1,981,588|6|0|0
9|12|321|1,946,841|6|0|0
9|12|321|1,912,087|6|0|0
9|12|321|1,875,750|6|0|0
9|12|321|1,840,018|6|0|0
9|12|321|1,805,254|6|0|0
9|12|321|1,770,462|6|0|0
9|12|321|1,735,618|6|0|0
9|12|321|1,700,848|6|0|0
9|12|321|1,665,997|6|0|0
9|12|321|1,631,233|6|0|0
9|12|321|1,595,215|6|0|0
9|12|321|1,559,868|6|0|0
9|12|321|1,525,123|6|0|0
9|12|321|1,490,355|6|0|0
9|12|321|1,455,731|6|0|0
9|12|321|1,420,988|6|0|0
9|12|321|1,386,243|6|0|0
9|12|321|1,351,489|6|0|0
9|12|321|1,316,740|6|0|0
9|12|321|1,281,946|6|0|0
9|12|321|1,246,969|6|0|0
9|12|321|1,212,184|6|0|0
9|12|321|1,177,379|6|0|0
9|12|321|1,142,479|6|0|0
9|12|321|1,107,621|6|0|0
9|12|321|1,072,798|6|0|0
9|12|321|1,037,928|6|0|0
9|12|321|1,002,978|6|0|0
9|12|321|968,191|6|0|0
9|12|321|933,420|6|0|0
9|12|321|898,678|6|0|0
9|12|321|863,891|6|0|0
9|12|321|829,092|6|0|0
9|12|321|794,369|6|0|0
9|12|321|759,576|6|0|0
9|12|321|724,649|6|0|0
9|12|321|689,713|6|0|0
9|12|321|654,262|6|0|0
9|12|321|618,492|6|0|0
9|12|321|583,719|6|0|0
9|12|321|547,430|6|0|0
9|12|321|512,533|6|0|0
9|12|321|477,672|6|0|0
9|12|321|442,952|6|0|0
9|12|321|408,139|6|0|0
9|12|321|373,293|6|0|0
9|12|321|338,546|6|0|0
9|12|321|303,773|6|0|0
9|12|321|268,927|6|0|0
9|12|321|233,871|6|0|0
9|12|321|199,159|6|0|0
9|12|321|163,700|6|0|0
9|12|321|128,865|6|0|0
9|12|321|93,424|6|0|0
9|12|321|58,505|6|0|0
