N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|321|1,454,439|6|0|0|0
9|12|321|1,415,320|6|0|0|0
9|12|321|1,380,407|6|0|0|0
9|12|321|1,345,706|6|0|0|0
9|12|321|1,310,998|6|0|0|0
9|12|321|1,276,268|6|0|0|0
9|12|321|1,241,599|6|0|0|0
9|12|321|1,206,784|6|0|0|0
9|12|321|1,171,931|6|0|0|0
9|12|321|1,135,355|6|0|0|0
9|12|321|1,100,498|6|0|0|0
9|12|321|1,065,754|6|0|0|0
9|12|321|1,031,063|6|0|0|0
9|12|321|996,350|6|0|0|0
9|12|321|961,626|6|0|0|0
9|12|321|926,912|6|0|0|0
9|12|321|892,148|6|0|0|0
9|12|321|857,422|6|0|0|0
9|12|321|822,665|6|0|0|0
9|12|321|787,760|6|0|0|0
9|12|321|752,979|6|0|0|0
9|12|321|718,055|6|0|0|0
9|12|321|683,187|6|0|0|0
9|12|321|648,518|6|0|0|0
9|12|321|613,683|6|0|0|0
9|12|321|578,907|6|0|0|0
9|12|321|544,206|6|0|0|0
9|12|321|509,460|6|0|0|0
9|12|321|474,074|6|0|0|0
9|12|321|439,079|6|0|0|0
9|12|321|404,402|6|0|0|0
9|12|321|369,695|6|0|0|0
9|12|321|334,968|6|0|0|0
9|12|321|300,280|6|0|0|0
9|12|321|265,608|6|0|0|0
9|12|321|230,876|6|0|0|0
9|12|321|195,973|6|0|0|0
9|12|321|161,282|6|0|0|0
9|12|321|126,811|6|0|0|0
9|12|321|92,104|6|0|0|0
9|12|321|1,450,991|6|0|0|0
9|12|321|1,416,292|6|0|0|0
9|12|321|1,381,578|6|0|0|0
9|12|321|1,346,897|6|0|0|0
9|12|321|1,312,174|6|0|0|0
9|12|321|1,277,447|6|0|0|0
9|12|321|1,242,747|6|0|0|0
9|12|321|1,206,610|6|0|0|0
9|12|321|1,171,755|6|0|0|0
9|12|321|1,137,070|6|0|0|0
9|12|321|1,102,025|6|0|0|0
9|12|321|1,066,179|6|0|0|0
9|12|321|1,030,242|6|0|0|0
9|12|321|995,454|6|0|0|0
9|12|321|960,673|6|0|0|0
9|12|321|925,994|6|0|0|0
9|12|321|891,307|6|0|0|0
9|12|321|856,453|6|0|0|0
9|12|321|821,622|6|0|0|0
9|12|321|786,952|6|0|0|0
9|12|321|752,062|6|0|0|0
9|12|321|717,376|6|0|0|0
9|12|321|682,704|6|0|0|0
9|12|321|647,977|6|0|0|0
9|12|321|613,125|6|0|0|0
9|12|321|578,456|6|0|0|0
9|12|321|543,695|6|0|0|0
9|12|321|508,934|6|0|0|0
9|12|321|474,067|6|0|0|0
9|12|321|439,358|6|0|0|0
9|12|321|404,596|6|0|0|0
9|12|321|369,943|6|0|0|0
9|12|321|335,130|6|0|0|0
9|12|321|300,427|6|0|0|0
9|12|321|265,700|6|0|0|0
9|12|321|230,979|6|0|0|0
9|12|321|196,260|6|0|0|0
9|12|321|161,491|6|0|0|0
9|12|321|126,609|6|0|0|0
9|12|321|91,863|6|0|0|0
9|12|321|752,473|6|0|0|0
9|12|321|717,606|6|0|0|0
9|12|321|681,419|6|0|0|0
9|12|321|646,273|6|0|0|0
9|12|321|611,589|6|0|0|0
9|12|321|576,897|6|0|0|0
9|12|321|542,207|6|0|0|0
9|12|321|507,513|6|0|0|0
9|12|321|472,797|6|0|0|0
9|12|321|438,094|6|0|0|0
9|12|321|403,176|6|0|0|0
9|12|321|368,478|6|0|0|0
9|12|321|333,826|6|0|0|0
9|12|321|299,105|6|0|0|0
9|12|321|264,252|6|0|0|0
9|12|321|229,578|6|0|0|0
9|12|321|194,869|6|0|0|0
9|12|321|160,140|6|0|0|0
9|12|321|125,465|6|0|0|0
9|12|321|90,823|6|0|0|0
-1|-1|-1|-1|-1|-1|-1|3,694,506
