Rank 0 : Found Solution : Querry Id = 12, IND = 6, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 19,065,742
Rank 0 : Found Solution : Querry Id = 14, IND = 7, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 19,029,535
Rank 0 : Found Solution : Querry Id = 16, IND = 8, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,993,314
Rank 0 : Found Solution : Querry Id = 18, IND = 9, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,957,104
Rank 0 : Found Solution : Querry Id = 20, IND = 10, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,920,885
Rank 0 : Found Solution : Querry Id = 22, IND = 11, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,884,673
Rank 0 : Found Solution : Querry Id = 24, IND = 12, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,856,438
Rank 0 : Found Solution : Querry Id = 36, IND = 13, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,852,714
Rank 0 : Found Solution : Querry Id = 38, IND = 14, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,816,161
Rank 0 : Found Solution : Querry Id = 40, IND = 15, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,779,944
Rank 0 : Found Solution : Querry Id = 42, IND = 16, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,743,732
Rank 0 : Found Solution : Querry Id = 44, IND = 17, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,707,509
Rank 0 : Found Solution : Querry Id = 46, IND = 18, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,671,287
Rank 0 : Found Solution : Querry Id = 48, IND = 19, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,635,073
Rank 0 : Found Solution : Querry Id = 50, IND = 20, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,598,856
Rank 0 : Found Solution : Querry Id = 52, IND = 21, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 18,562,631
Rank 0 : Found Solution : Querry Id = 69, IND = 22, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 13,848,195
Rank 0 : Found Solution : Querry Id = 71, IND = 23, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,535,337
Rank 0 : Found Solution : Querry Id = 73, IND = 24, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,505,746
Rank 0 : Found Solution : Querry Id = 75, IND = 25, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,469,439
Rank 0 : Found Solution : Querry Id = 77, IND = 26, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,433,149
Rank 0 : Found Solution : Querry Id = 79, IND = 27, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,396,893
Rank 0 : Found Solution : Querry Id = 81, IND = 28, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,360,640
Rank 0 : Found Solution : Querry Id = 83, IND = 29, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,324,383
Rank 0 : Found Solution : Querry Id = 85, IND = 30, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,288,143
Rank 0 : Found Solution : Querry Id = 87, IND = 31, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,251,889
Rank 0 : Found Solution : Querry Id = 89, IND = 32, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,215,632
Rank 0 : Found Solution : Querry Id = 91, IND = 33, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,179,421
Rank 0 : Found Solution : Querry Id = 93, IND = 34, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,143,192
Rank 0 : Found Solution : Querry Id = 95, IND = 35, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,106,970
Rank 0 : Found Solution : Querry Id = 97, IND = 36, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,087,306
Rank 0 : Found Solution : Querry Id = 99, IND = 37, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,074,752
Rank 1 : Found Solution : Querry Id = 28, IND = 6, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,737,282
Rank 1 : Found Solution : Querry Id = 29, IND = 7, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,670,368
Rank 1 : Found Solution : Querry Id = 30, IND = 8, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 8,243,965
Rank 1 : Found Solution : Querry Id = 31, IND = 9, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 7,767,752
Rank 1 : Found Solution : Querry Id = 32, IND = 10, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 7,300,750
Rank 1 : Found Solution : Querry Id = 33, IND = 0, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 6,817,712
Rank 1 : Found Solution : Querry Id = 34, IND = 1, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 6,343,893
Rank 1 : Found Solution : Querry Id = 35, IND = 2, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 5,892,135
Rank 1 : Found Solution : Querry Id = 36, IND = 3, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 5,404,345
Rank 1 : Found Solution : Querry Id = 37, IND = 4, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,890,046
Rank 1 : Found Solution : Querry Id = 38, IND = 5, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,369,370
Rank 1 : Found Solution : Querry Id = 39, IND = 6, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,171,918
Rank 1 : Found Solution : Querry Id = 40, IND = 7, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,163,242
Rank 1 : Found Solution : Querry Id = 41, IND = 8, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,161,931
Rank 1 : Found Solution : Querry Id = 42, IND = 9, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,174,288
Rank 1 : Found Solution : Querry Id = 43, IND = 10, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,170,815
Rank 1 : Found Solution : Querry Id = 44, IND = 0, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,186,631
Rank 1 : Found Solution : Querry Id = 45, IND = 1, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,204,650
Rank 1 : Found Solution : Querry Id = 46, IND = 2, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,207,847
Rank 1 : Found Solution : Querry Id = 47, IND = 3, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,192,906
Rank 1 : Found Solution : Querry Id = 48, IND = 4, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,184,240
Rank 1 : Found Solution : Querry Id = 49, IND = 5, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,192,744
Rank 1 : Found Solution : Querry Id = 50, IND = 6, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,197,116
Rank 1 : Found Solution : Querry Id = 51, IND = 7, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,196,536
Rank 1 : Found Solution : Querry Id = 52, IND = 8, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,179,882
Rank 1 : Found Solution : Querry Id = 53, IND = 9, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,166,994
Rank 1 : Found Solution : Querry Id = 54, IND = 10, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,163,489
Rank 1 : Found Solution : Querry Id = 55, IND = 0, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,145,470
Rank 1 : Found Solution : Querry Id = 56, IND = 1, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,131,487
Rank 1 : Found Solution : Querry Id = 57, IND = 2, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,102,259
Rank 1 : Found Solution : Querry Id = 58, IND = 3, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 4,063,206
Rank 1 : Found Solution : Querry Id = 59, IND = 4, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 3,763,565
Rank 1 : Found Solution : Querry Id = 60, IND = 5, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 3,405,469
Rank 1 : Found Solution : Querry Id = 61, IND = 6, N1 = 9, N2 = 12, QID = 1127, isHeu = 1, limitDoms = 1, kl = 9, ku = 11, Elapsed Time = 3,022,400
