N1|N2|QID|Time|Degree|Overtime|Heu
9|12|321|3,597,806|6|0|0
9|12|321|3,557,628|6|0|0
9|12|321|3,522,198|6|0|0
9|12|321|3,487,028|6|0|0
9|12|321|3,451,822|6|0|0
9|12|321|3,416,537|6|0|0
9|12|321|3,381,243|6|0|0
9|12|321|3,346,074|6|0|0
9|12|321|3,310,865|6|0|0
9|12|321|3,275,554|6|0|0
9|12|321|3,240,332|6|0|0
9|12|321|3,205,030|6|0|0
9|12|321|3,169,820|6|0|0
9|12|321|3,134,545|6|0|0
9|12|321|3,099,192|6|0|0
9|12|321|3,063,931|6|0|0
9|12|321|3,028,667|6|0|0
9|12|321|2,992,607|6|0|0
9|12|321|2,957,136|6|0|0
9|12|321|2,922,038|6|0|0
9|12|321|2,886,881|6|0|0
9|12|321|2,851,694|6|0|0
9|12|321|2,816,356|6|0|0
9|12|321|2,781,090|6|0|0
9|12|321|2,745,744|6|0|0
9|12|321|2,710,453|6|0|0
9|12|321|2,675,079|6|0|0
9|12|321|2,639,824|6|0|0
9|12|321|2,604,503|6|0|0
9|12|321|2,569,211|6|0|0
9|12|321|2,533,701|6|0|0
9|12|321|2,498,423|6|0|0
9|12|321|2,463,114|6|0|0
9|12|321|2,427,859|6|0|0
9|12|321|2,392,569|6|0|0
9|12|321|2,357,387|6|0|0
9|12|321|2,322,149|6|0|0
9|12|321|2,286,744|6|0|0
9|12|321|2,251,434|6|0|0
9|12|321|2,215,644|6|0|0
9|12|321|2,179,442|6|0|0
9|12|321|2,144,015|6|0|0
9|12|321|2,108,709|6|0|0
9|12|321|2,073,511|6|0|0
9|12|321|2,038,283|6|0|0
9|12|321|2,002,935|6|0|0
9|12|321|1,967,705|6|0|0
9|12|321|1,932,448|6|0|0
9|12|321|1,897,240|6|0|0
9|12|321|1,862,061|6|0|0
9|12|321|1,826,820|6|0|0
9|12|321|1,791,616|6|0|0
9|12|321|1,756,259|6|0|0
9|12|321|1,720,957|6|0|0
9|12|321|1,685,874|6|0|0
9|12|321|1,650,162|6|0|0
9|12|321|1,614,226|6|0|0
9|12|321|1,578,959|6|0|0
9|12|321|1,543,687|6|0|0
9|12|321|1,508,401|6|0|0
9|12|321|1,473,130|6|0|0
9|12|321|1,436,562|6|0|0
9|12|321|1,401,286|6|0|0
9|12|321|1,366,030|6|0|0
9|12|321|1,330,834|6|0|0
9|12|321|1,295,551|6|0|0
9|12|321|1,260,304|6|0|0
9|12|321|1,225,069|6|0|0
9|12|321|1,189,821|6|0|0
9|12|321|1,154,537|6|0|0
9|12|321|1,119,104|6|0|0
9|12|321|1,083,879|6|0|0
9|12|321|1,048,633|6|0|0
9|12|321|1,013,371|6|0|0
9|12|321|978,033|6|0|0
9|12|321|942,723|6|0|0
9|12|321|907,460|6|0|0
9|12|321|872,203|6|0|0
9|12|321|836,789|6|0|0
9|12|321|801,637|6|0|0
9|12|321|766,449|6|0|0
9|12|321|730,725|6|0|0
9|12|321|695,264|6|0|0
9|12|321|660,041|6|0|0
9|12|321|624,833|6|0|0
9|12|321|589,587|6|0|0
9|12|321|554,339|6|0|0
9|12|321|519,141|6|0|0
9|12|321|483,890|6|0|0
9|12|321|448,667|6|0|0
9|12|321|413,417|6|0|0
9|12|321|377,709|6|0|0
9|12|321|342,304|6|0|0
9|12|321|307,049|6|0|0
9|12|321|271,790|6|0|0
9|12|321|236,620|6|0|0
9|12|321|201,299|6|0|0
9|12|321|166,037|6|0|0
9|12|321|130,818|6|0|0
9|12|321|95,568|6|0|0
