N1|N2|QID|Time|Degree|Overtime|Heu
9|12|321|413,139|6|0|0
9|12|321|373,662|6|0|0
9|12|321|337,782|6|0|0
9|12|321|302,332|6|0|0
9|12|321|267,225|6|0|0
9|12|321|232,080|6|0|0
9|12|321|196,598|6|0|0
9|12|321|161,470|6|0|0
9|12|321|126,178|6|0|0
9|12|321|90,879|6|0|0
9|12|321|409,119|6|0|0
9|12|321|373,967|6|0|0
9|12|321|337,248|6|0|0
9|12|321|301,928|6|0|0
9|12|321|266,749|6|0|0
9|12|321|231,223|6|0|0
9|12|321|196,130|6|0|0
9|12|321|160,873|6|0|0
9|12|321|125,772|6|0|0
9|12|321|90,652|6|0|0
9|12|321|407,330|6|0|0
9|12|321|372,113|6|0|0
9|12|321|337,011|6|0|0
9|12|321|301,751|6|0|0
9|12|321|266,660|6|0|0
9|12|321|231,492|6|0|0
9|12|321|196,360|6|0|0
9|12|321|160,892|6|0|0
9|12|321|125,789|6|0|0
9|12|321|90,679|6|0|0
9|12|321|407,720|6|0|0
9|12|321|372,559|6|0|0
9|12|321|337,045|6|0|0
9|12|321|301,821|6|0|0
9|12|321|266,626|6|0|0
9|12|321|231,509|6|0|0
9|12|321|196,453|6|0|0
9|12|321|161,330|6|0|0
9|12|321|126,200|6|0|0
9|12|321|91,106|6|0|0
9|12|321|407,320|6|0|0
9|12|321|372,022|6|0|0
9|12|321|336,864|6|0|0
9|12|321|301,717|6|0|0
9|12|321|266,675|6|0|0
9|12|321|231,598|6|0|0
9|12|321|196,466|6|0|0
9|12|321|161,052|6|0|0
9|12|321|125,930|6|0|0
9|12|321|90,674|6|0|0
9|12|321|408,709|6|0|0
9|12|321|373,526|6|0|0
9|12|321|338,431|6|0|0
9|12|321|303,261|6|0|0
9|12|321|268,080|6|0|0
9|12|321|232,697|6|0|0
9|12|321|197,298|6|0|0
9|12|321|162,012|6|0|0
9|12|321|126,924|6|0|0
9|12|321|91,388|6|0|0
9|12|321|408,655|6|0|0
9|12|321|373,476|6|0|0
9|12|321|338,331|6|0|0
9|12|321|301,969|6|0|0
9|12|321|266,309|6|0|0
9|12|321|231,172|6|0|0
9|12|321|195,978|6|0|0
9|12|321|160,839|6|0|0
9|12|321|125,773|6|0|0
9|12|321|90,770|6|0|0
9|12|321|409,029|6|0|0
9|12|321|373,603|6|0|0
9|12|321|338,422|6|0|0
9|12|321|303,333|6|0|0
9|12|321|268,031|6|0|0
9|12|321|232,835|6|0|0
9|12|321|197,640|6|0|0
9|12|321|162,559|6|0|0
9|12|321|127,163|6|0|0
9|12|321|90,870|6|0|0
9|12|321|407,020|6|0|0
9|12|321|371,952|6|0|0
9|12|321|336,766|6|0|0
9|12|321|301,712|6|0|0
9|12|321|266,597|6|0|0
9|12|321|231,459|6|0|0
9|12|321|196,271|6|0|0
9|12|321|161,166|6|0|0
9|12|321|126,064|6|0|0
9|12|321|90,841|6|0|0
9|12|321|407,245|6|0|0
9|12|321|372,112|6|0|0
9|12|321|336,922|6|0|0
9|12|321|301,869|6|0|0
9|12|321|266,694|6|0|0
9|12|321|231,504|6|0|0
9|12|321|196,379|6|0|0
9|12|321|161,160|6|0|0
9|12|321|126,051|6|0|0
9|12|321|90,978|6|0|0
