N1|N2|QID|Time|Degree|Overtime|Heu
9|12|1452|3,572,908|9|0|0
9|12|1452|3,565,412|9|0|0
9|12|1452|3,558,413|9|0|0
9|12|1452|3,551,506|9|0|0
9|12|1452|3,544,578|9|0|0
9|12|1452|3,537,680|9|0|0
9|12|1452|3,530,778|9|0|0
9|12|1452|3,523,825|9|0|0
9|12|1452|3,516,913|9|0|0
9|12|1452|3,509,921|9|0|0
9|12|1452|3,502,992|9|0|0
9|12|1452|3,496,083|9|0|0
9|12|1452|3,489,115|9|0|0
9|12|1452|3,482,197|9|0|0
9|12|1452|3,475,319|9|0|0
9|12|1452|3,468,306|9|0|0
9|12|1452|3,461,483|9|0|0
9|12|1452|3,454,606|9|0|0
9|12|1452|3,447,653|9|0|0
9|12|1452|3,440,712|9|0|0
9|12|1452|3,433,753|9|0|0
9|12|1452|3,426,874|9|0|0
9|12|1452|3,419,907|9|0|0
9|12|1452|3,413,012|9|0|0
9|12|1452|3,406,110|9|0|0
9|12|1452|3,399,241|9|0|0
9|12|1452|3,392,277|9|0|0
9|12|1452|3,385,405|9|0|0
9|12|1452|3,378,446|9|0|0
9|12|1452|3,371,479|9|0|0
9|12|1452|3,364,533|9|0|0
9|12|1452|3,357,562|9|0|0
9|12|1452|3,350,664|9|0|0
9|12|1452|3,343,635|9|0|0
9|12|1452|3,336,680|9|0|0
9|12|1452|3,329,714|9|0|0
9|12|1452|3,322,788|9|0|0
9|12|1452|3,315,887|9|0|0
9|12|1452|3,308,990|9|0|0
9|12|1452|3,302,102|9|0|0
9|12|1452|3,295,200|9|0|0
9|12|1452|3,288,245|9|0|0
9|12|1452|3,281,286|9|0|0
9|12|1452|3,274,319|9|0|0
9|12|1452|3,267,405|9|0|0
9|12|1452|3,260,431|9|0|0
9|12|1452|3,253,422|9|0|0
9|12|1452|3,246,486|9|0|0
9|12|1452|3,239,574|9|0|0
9|12|1452|3,232,623|9|0|0
9|12|1452|3,225,652|9|0|0
9|12|1452|3,218,727|9|0|0
9|12|1452|3,211,759|9|0|0
9|12|1452|3,204,791|9|0|0
9|12|1452|3,197,921|9|0|0
9|12|1452|3,190,981|9|0|0
9|12|1452|3,184,086|9|0|0
9|12|1452|3,177,197|9|0|0
9|12|1452|3,170,291|9|0|0
9|12|1452|3,163,381|9|0|0
9|12|1452|3,416,239|9|0|0
9|12|1452|3,409,321|9|0|0
9|12|1452|3,402,398|9|0|0
9|12|1452|3,395,430|9|0|0
9|12|1452|3,388,539|9|0|0
9|12|1452|3,381,537|9|0|0
9|12|1452|3,374,556|9|0|0
9|12|1452|3,367,554|9|0|0
9|12|1452|3,360,637|9|0|0
9|12|1452|3,353,717|9|0|0
9|12|1452|3,346,735|9|0|0
9|12|1452|3,339,790|9|0|0
9|12|1452|3,332,786|9|0|0
9|12|1452|3,325,829|9|0|0
9|12|1452|3,318,917|9|0|0
9|12|1452|3,312,008|9|0|0
9|12|1452|3,305,037|9|0|0
9|12|1452|3,298,089|9|0|0
9|12|1452|3,291,167|9|0|0
9|12|1452|3,284,199|9|0|0
9|12|1452|3,277,315|9|0|0
9|12|1452|3,270,329|9|0|0
9|12|1452|3,263,359|9|0|0
9|12|1452|3,256,464|9|0|0
9|12|1452|3,249,483|9|0|0
9|12|1452|3,242,584|9|0|0
9|12|1452|3,235,679|9|0|0
9|12|1452|3,228,670|9|0|0
9|12|1452|3,221,699|9|0|0
9|12|1452|3,214,714|9|0|0
9|12|1452|3,207,825|9|0|0
9|12|1452|3,200,929|9|0|0
9|12|1452|3,193,954|9|0|0
9|12|1452|3,186,962|9|0|0
9|12|1452|3,180,023|9|0|0
9|12|1452|3,173,365|9|0|0
9|12|1452|3,166,474|9|0|0
9|12|1452|3,159,577|9|0|0
9|12|1452|3,152,677|9|0|0
9|12|1452|3,145,775|9|0|0
