N1|N2|QID|Time|Degree|Overtime|Heu
9|12|1452|3,240,502|9|0|0
9|12|1452|3,233,028|9|0|0
9|12|1452|3,226,219|9|0|0
9|12|1452|3,219,404|9|0|0
9|12|1452|3,212,723|9|0|0
9|12|1452|3,205,935|9|0|0
9|12|1452|3,199,145|9|0|0
9|12|1452|3,192,325|9|0|0
9|12|1452|3,185,501|9|0|0
9|12|1452|3,178,695|9|0|0
9|12|1452|3,171,901|9|0|0
9|12|1452|3,165,109|9|0|0
9|12|1452|3,158,286|9|0|0
9|12|1452|3,151,299|9|0|0
9|12|1452|3,144,434|9|0|0
9|12|1452|3,137,641|9|0|0
9|12|1452|3,130,810|9|0|0
9|12|1452|3,124,003|9|0|0
9|12|1452|3,117,190|9|0|0
9|12|1452|3,110,384|9|0|0
9|12|1452|3,103,533|9|0|0
9|12|1452|3,096,713|9|0|0
9|12|1452|3,089,921|9|0|0
9|12|1452|3,083,113|9|0|0
9|12|1452|3,076,295|9|0|0
9|12|1452|3,069,466|9|0|0
9|12|1452|3,062,659|9|0|0
9|12|1452|3,055,797|9|0|0
9|12|1452|3,048,950|9|0|0
9|12|1452|3,042,129|9|0|0
