N1|N2|QID|Time|Degree|Overtime|Heu|TotalTime
9|12|1452|3,410,319|9|0|0|0
9|12|1452|3,403,711|9|0|0|0
9|12|1452|3,396,576|9|0|0|0
9|12|1452|3,389,506|9|0|0|0
9|12|1452|3,382,473|9|0|0|0
9|12|1452|3,375,433|9|0|0|0
9|12|1452|3,368,351|9|0|0|0
9|12|1452|3,361,295|9|0|0|0
9|12|1452|3,354,265|9|0|0|0
9|12|1452|3,347,213|9|0|0|0
9|12|1452|3,340,175|9|0|0|0
9|12|1452|3,333,158|9|0|0|0
9|12|1452|3,326,092|9|0|0|0
9|12|1452|3,319,104|9|0|0|0
9|12|1452|3,312,055|9|0|0|0
9|12|1452|3,305,071|9|0|0|0
9|12|1452|3,298,024|9|0|0|0
9|12|1452|3,290,969|9|0|0|0
9|12|1452|3,283,918|9|0|0|0
9|12|1452|3,276,841|9|0|0|0
9|12|1452|3,269,797|9|0|0|0
9|12|1452|3,262,773|9|0|0|0
9|12|1452|3,255,720|9|0|0|0
9|12|1452|3,248,704|9|0|0|0
9|12|1452|3,241,674|9|0|0|0
9|12|1452|3,234,835|9|0|0|0
9|12|1452|3,227,794|9|0|0|0
9|12|1452|3,220,738|9|0|0|0
9|12|1452|3,213,719|9|0|0|0
9|12|1452|3,206,671|9|0|0|0
9|12|1452|3,199,626|9|0|0|0
9|12|1452|3,192,599|9|0|0|0
9|12|1452|3,185,561|9|0|0|0
9|12|1452|3,178,473|9|0|0|0
9|12|1452|3,171,421|9|0|0|0
9|12|1452|3,164,348|9|0|0|0
9|12|1452|3,157,250|9|0|0|0
9|12|1452|3,150,181|9|0|0|0
9|12|1452|3,143,140|9|0|0|0
9|12|1452|3,136,104|9|0|0|0
9|12|1452|3,410,049|9|0|0|0
9|12|1452|3,402,824|9|0|0|0
9|12|1452|3,395,805|9|0|0|0
9|12|1452|3,388,747|9|0|0|0
9|12|1452|3,381,699|9|0|0|0
9|12|1452|3,374,626|9|0|0|0
9|12|1452|3,367,589|9|0|0|0
9|12|1452|3,360,532|9|0|0|0
9|12|1452|3,353,476|9|0|0|0
9|12|1452|3,346,406|9|0|0|0
9|12|1452|3,339,338|9|0|0|0
9|12|1452|3,332,270|9|0|0|0
9|12|1452|3,325,218|9|0|0|0
9|12|1452|3,318,179|9|0|0|0
9|12|1452|3,311,126|9|0|0|0
9|12|1452|3,304,062|9|0|0|0
9|12|1452|3,297,012|9|0|0|0
9|12|1452|3,289,944|9|0|0|0
9|12|1452|3,282,898|9|0|0|0
9|12|1452|3,275,890|9|0|0|0
9|12|1452|3,268,864|9|0|0|0
9|12|1452|3,261,821|9|0|0|0
9|12|1452|3,254,789|9|0|0|0
9|12|1452|3,247,740|9|0|0|0
9|12|1452|3,240,669|9|0|0|0
9|12|1452|3,233,620|9|0|0|0
9|12|1452|3,226,563|9|0|0|0
9|12|1452|3,219,515|9|0|0|0
9|12|1452|3,212,457|9|0|0|0
9|12|1452|3,205,382|9|0|0|0
9|12|1452|3,198,374|9|0|0|0
9|12|1452|3,191,323|9|0|0|0
9|12|1452|3,184,277|9|0|0|0
9|12|1452|3,177,237|9|0|0|0
9|12|1452|3,170,210|9|0|0|0
9|12|1452|3,163,195|9|0|0|0
9|12|1452|3,156,157|9|0|0|0
9|12|1452|3,149,073|9|0|0|0
9|12|1452|3,142,018|9|0|0|0
9|12|1452|3,134,983|9|0|0|0
9|12|1452|2,918,933|9|0|0|0
9|12|1452|2,911,795|9|0|0|0
9|12|1452|2,904,735|9|0|0|0
9|12|1452|2,897,689|9|0|0|0
9|12|1452|2,890,657|9|0|0|0
9|12|1452|2,883,636|9|0|0|0
9|12|1452|2,876,565|9|0|0|0
9|12|1452|2,869,528|9|0|0|0
9|12|1452|2,862,488|9|0|0|0
9|12|1452|2,855,459|9|0|0|0
9|12|1452|2,848,401|9|0|0|0
9|12|1452|2,841,334|9|0|0|0
9|12|1452|2,834,298|9|0|0|0
9|12|1452|2,827,199|9|0|0|0
9|12|1452|2,820,157|9|0|0|0
9|12|1452|2,813,112|9|0|0|0
9|12|1452|2,806,010|9|0|0|0
9|12|1452|2,798,959|9|0|0|0
9|12|1452|2,791,892|9|0|0|0
9|12|1452|2,784,863|9|0|0|0
-1|-1|-1|-1|-1|-1|-1|9,791,647
